time,temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
3:29:10,37,0.084,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.462,0.157,0.089,0.088,0.089,0.086,0.089,0.091,0.091,0.091,0.095,0.09,0.466,0.177,0.091,0.09,0.089,0.087,0.625,0.153,0.091,0.091,0.091,0.094,0.515,0.226,0.092,0.092,0.091,0.089,0.09,0.09,0.088,0.091,0.091,0.092,0.598,0.259,0.084,0.09,0.089,0.09,0.089,0.091,0.089,0.091,0.093,0.093,0.607,0.258,0.081,0.093,0.093,0.091,0.089,0.089,0.09,0.092,0.091,0.09,0.756,0.206,0.081,0.096,0.092,0.093,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.088,0.087,0.088,0.086,0.092,0.088,0.088,0.091
3:39:10,37,0.084,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.464,0.156,0.089,0.088,0.09,0.086,0.089,0.091,0.09,0.091,0.095,0.09,0.467,0.18,0.091,0.09,0.089,0.087,0.648,0.156,0.09,0.091,0.091,0.095,0.516,0.233,0.092,0.092,0.091,0.089,0.09,0.09,0.088,0.09,0.091,0.093,0.607,0.268,0.084,0.09,0.089,0.09,0.089,0.091,0.089,0.091,0.093,0.093,0.625,0.27,0.082,0.093,0.094,0.091,0.089,0.09,0.09,0.092,0.091,0.09,0.785,0.212,0.081,0.096,0.092,0.093,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.088,0.087,0.088,0.086,0.092,0.088,0.088,0.091
3:49:10,37,0.084,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.465,0.158,0.089,0.087,0.09,0.086,0.089,0.091,0.091,0.091,0.095,0.089,0.468,0.183,0.091,0.09,0.089,0.087,0.673,0.158,0.09,0.091,0.091,0.094,0.518,0.24,0.092,0.092,0.091,0.089,0.09,0.09,0.088,0.09,0.091,0.092,0.614,0.279,0.084,0.09,0.089,0.091,0.089,0.091,0.089,0.091,0.093,0.093,0.643,0.281,0.083,0.093,0.094,0.091,0.089,0.089,0.09,0.092,0.091,0.09,0.813,0.218,0.081,0.096,0.092,0.093,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.091
3:59:10,37.1,0.084,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.47,0.16,0.089,0.088,0.09,0.086,0.088,0.091,0.09,0.091,0.095,0.089,0.472,0.186,0.091,0.09,0.089,0.088,0.701,0.162,0.09,0.091,0.091,0.094,0.523,0.248,0.092,0.092,0.092,0.09,0.09,0.09,0.088,0.09,0.091,0.092,0.624,0.287,0.084,0.09,0.089,0.091,0.089,0.091,0.088,0.09,0.093,0.093,0.661,0.294,0.084,0.093,0.094,0.091,0.089,0.089,0.09,0.091,0.091,0.09,0.839,0.226,0.081,0.096,0.093,0.094,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.09
4:09:10,37,0.085,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.473,0.163,0.089,0.088,0.09,0.087,0.089,0.091,0.092,0.091,0.097,0.089,0.474,0.189,0.091,0.091,0.089,0.088,0.728,0.166,0.09,0.091,0.091,0.094,0.529,0.255,0.092,0.093,0.092,0.09,0.09,0.09,0.088,0.09,0.091,0.092,0.632,0.29,0.084,0.09,0.09,0.092,0.089,0.091,0.089,0.091,0.093,0.093,0.678,0.305,0.084,0.094,0.095,0.092,0.089,0.089,0.09,0.092,0.091,0.09,0.866,0.233,0.081,0.096,0.093,0.094,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.091
4:19:10,37,0.084,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.478,0.166,0.089,0.088,0.09,0.087,0.088,0.091,0.092,0.091,0.096,0.089,0.475,0.193,0.091,0.091,0.09,0.088,0.758,0.169,0.09,0.091,0.091,0.094,0.532,0.262,0.092,0.093,0.092,0.09,0.09,0.09,0.088,0.09,0.091,0.092,0.643,0.3,0.084,0.091,0.09,0.092,0.089,0.091,0.089,0.091,0.093,0.093,0.699,0.317,0.084,0.094,0.095,0.092,0.089,0.089,0.09,0.092,0.091,0.09,0.89,0.239,0.081,0.097,0.093,0.095,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.088,0.087,0.088,0.086,0.092,0.088,0.088,0.091
4:29:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.485,0.168,0.089,0.088,0.09,0.088,0.089,0.091,0.091,0.091,0.096,0.089,0.479,0.196,0.091,0.091,0.09,0.088,0.786,0.173,0.09,0.091,0.091,0.094,0.535,0.269,0.092,0.093,0.092,0.091,0.09,0.09,0.088,0.09,0.091,0.093,0.653,0.31,0.084,0.091,0.09,0.093,0.089,0.091,0.089,0.091,0.093,0.093,0.715,0.331,0.083,0.095,0.096,0.092,0.089,0.09,0.09,0.092,0.091,0.09,0.911,0.247,0.081,0.097,0.094,0.095,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.088,0.087,0.088,0.086,0.092,0.088,0.088,0.091
4:39:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.495,0.172,0.089,0.089,0.091,0.087,0.089,0.091,0.091,0.092,0.096,0.089,0.485,0.201,0.091,0.091,0.09,0.088,0.815,0.178,0.09,0.091,0.091,0.094,0.542,0.274,0.092,0.093,0.093,0.091,0.09,0.09,0.088,0.09,0.091,0.092,0.665,0.322,0.084,0.091,0.09,0.093,0.089,0.091,0.089,0.091,0.093,0.093,0.731,0.345,0.082,0.095,0.095,0.093,0.089,0.089,0.09,0.092,0.091,0.09,0.93,0.254,0.081,0.097,0.094,0.096,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.09
4:49:10,37,0.085,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.497,0.174,0.089,0.089,0.091,0.088,0.089,0.091,0.091,0.092,0.096,0.09,0.484,0.204,0.091,0.091,0.09,0.088,0.843,0.181,0.09,0.091,0.091,0.095,0.547,0.279,0.092,0.093,0.093,0.091,0.09,0.09,0.088,0.09,0.091,0.092,0.676,0.332,0.084,0.091,0.091,0.094,0.089,0.091,0.089,0.091,0.093,0.093,0.749,0.359,0.081,0.095,0.097,0.093,0.089,0.09,0.09,0.092,0.091,0.09,0.944,0.262,0.081,0.097,0.094,0.096,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.088,0.087,0.088,0.086,0.092,0.088,0.088,0.091
4:59:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.503,0.177,0.089,0.089,0.091,0.088,0.089,0.091,0.091,0.092,0.096,0.089,0.488,0.208,0.09,0.092,0.09,0.089,0.869,0.186,0.09,0.091,0.091,0.094,0.555,0.285,0.092,0.094,0.093,0.091,0.09,0.09,0.088,0.09,0.091,0.092,0.686,0.344,0.084,0.092,0.091,0.094,0.089,0.091,0.089,0.091,0.093,0.093,0.752,0.373,0.081,0.096,0.096,0.094,0.089,0.089,0.09,0.092,0.091,0.09,0.939,0.269,0.081,0.098,0.094,0.096,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.091
5:09:10,37,0.084,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.506,0.179,0.089,0.089,0.092,0.089,0.089,0.091,0.091,0.092,0.096,0.089,0.493,0.221,0.09,0.092,0.09,0.089,0.895,0.19,0.09,0.091,0.091,0.094,0.558,0.291,0.092,0.094,0.093,0.092,0.09,0.09,0.088,0.09,0.091,0.092,0.687,0.356,0.084,0.092,0.091,0.095,0.089,0.091,0.089,0.091,0.093,0.093,0.749,0.387,0.081,0.097,0.096,0.094,0.089,0.089,0.09,0.092,0.091,0.09,0.942,0.278,0.081,0.098,0.095,0.097,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.091
5:19:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.513,0.183,0.089,0.089,0.092,0.088,0.089,0.091,0.093,0.092,0.096,0.089,0.497,0.22,0.09,0.092,0.091,0.089,0.916,0.194,0.09,0.091,0.091,0.094,0.564,0.298,0.092,0.094,0.094,0.092,0.09,0.09,0.088,0.09,0.091,0.092,0.684,0.367,0.084,0.092,0.091,0.095,0.089,0.091,0.089,0.091,0.093,0.093,0.745,0.402,0.081,0.097,0.097,0.095,0.089,0.089,0.09,0.092,0.091,0.09,0.946,0.285,0.081,0.098,0.095,0.098,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.09
5:29:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.519,0.185,0.089,0.089,0.092,0.088,0.089,0.091,0.092,0.092,0.097,0.089,0.501,0.221,0.09,0.092,0.091,0.089,0.937,0.199,0.09,0.091,0.091,0.094,0.569,0.304,0.092,0.094,0.094,0.093,0.09,0.09,0.088,0.09,0.091,0.092,0.679,0.38,0.084,0.093,0.092,0.096,0.089,0.091,0.089,0.09,0.093,0.093,0.741,0.417,0.082,0.098,0.097,0.096,0.089,0.089,0.09,0.092,0.091,0.09,0.95,0.294,0.081,0.098,0.095,0.099,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.088,0.087,0.088,0.086,0.092,0.088,0.088,0.091
